Month,DrugCode,ForecastDemand,CurrentStock,Surplus,ShelfLifeDays,LeadTimeDays,UnitCost,WastageRate,Season,RiskLabel
2020-10,M01AB,1105.52,693.92,-411.6,1088,30,173.49,0.17,Autumn,Shortage
2020-10,M01AE,380.74,449.21,68.47,368,36,180.56,0.15,Autumn,Balanced
2020-10,N02BA,1244.89,1020.87,-224.02,788,25,78.15,0,Autumn,Balanced
2020-10,N02BE,1360.91,804.69,-556.22,544,34,190.04,0.29,Autumn,Shortage
2020-10,N05B,872.95,988.04,115.09,974,75,59,0.1,Autumn,Balanced
2020-10,N05C,1018.6,1275.67,257.07,240,22,158.03,0.03,Autumn,Surplus
2020-10,R03,756.8,421.96,-334.84,312,11,147.54,0.16,Autumn,Shortage
2020-10,R06,1067.57,1567.89,500.32,98,80,167.47,0.26,Autumn,Surplus
2020-11,M01AB,1262.57,1169.25,-93.31,257,48,79.63,0.27,Autumn,Balanced
2020-11,M01AE,245.51,248.78,3.27,511,89,116.47,0.26,Autumn,Balanced
2020-11,N02BA,1324.13,975.47,-348.66,416,51,150.8,0.11,Autumn,Shortage
2020-11,N02BE,152.75,195.08,42.33,271,45,85.13,0.27,Autumn,Surplus
2020-11,N05B,193.46,192.03,-1.43,742,64,148.32,0.23,Autumn,Balanced
2020-11,N05C,1239.5,1542.2,302.7,476,83,47.88,0.12,Autumn,Surplus
2020-11,R03,732.24,426.82,-305.42,1018,44,87.55,0.24,Autumn,Shortage
2020-11,R06,1467.51,1549.7,82.19,904,27,9.16,0.28,Autumn,Balanced
2020-12,M01AB,1381.1,1039.95,-341.15,748,26,15.55,0.05,Winter,Shortage
2020-12,M01AE,348.71,277.05,-71.66,602,60,117.07,0.27,Winter,Shortage
2020-12,N02BA,96.81,75.6,-21.2,825,22,178.11,0.14,Winter,Shortage
2020-12,N02BE,941.59,731.98,-209.62,437,42,93.01,0.11,Winter,Shortage
2020-12,N05B,887.97,513.01,-374.96,130,70,90.92,0.01,Winter,Shortage
2020-12,N05C,441.25,402.07,-39.18,550,35,27.07,0.02,Winter,Balanced
2020-12,R03,1412.58,1294.83,-117.75,798,53,183.88,0.02,Winter,Balanced
2020-12,R06,1318.69,1386.72,68.03,94,39,155.63,0.14,Winter,Balanced
2021-01,M01AB,1478.37,1296.15,-182.23,371,69,78.9,0.25,Winter,Balanced
2021-01,M01AE,866.55,488.31,-378.24,194,7,3.23,0.02,Winter,Shortage
2021-01,N02BA,1046.82,1082.77,35.95,734,9,111.31,0.23,Winter,Balanced
2021-01,N02BE,1418.81,1914.89,496.08,234,84,41.41,0.08,Winter,Surplus
2021-01,N05B,433.86,306.83,-127.02,538,38,9.86,0.08,Winter,Shortage
2021-01,N05C,62.61,62.5,-0.11,527,9,104.27,0.26,Winter,Balanced
2021-01,R03,841.3,892.57,51.27,823,63,118.2,0.14,Winter,Balanced
2021-01,R06,648.19,832.71,184.52,999,72,161.11,0.27,Winter,Surplus
2021-02,M01AB,937.38,1387.75,450.38,395,88,78.75,0.13,Winter,Surplus
2021-02,M01AE,1359.11,1152.88,-206.24,255,85,79.61,0.19,Winter,Balanced
2021-02,N02BA,1297.67,1881.01,583.33,989,16,185.35,0.15,Winter,Surplus
2021-02,N02BE,409.62,392.88,-16.74,635,12,98.78,0.1,Winter,Balanced
2021-02,N05B,961.1,711.35,-249.75,972,29,26.05,0.05,Winter,Shortage
2021-02,N05C,234.08,267.05,32.98,449,10,69.46,0.27,Winter,Balanced
2021-02,R03,726.72,848.49,121.77,1035,67,38.86,0.01,Winter,Balanced
2021-02,R06,278.33,216.71,-61.63,918,28,18.2,0.04,Winter,Shortage
2021-03,M01AB,707.34,499.62,-207.72,635,55,100.93,0.21,Spring,Shortage
2021-03,M01AE,87.79,114.07,26.28,210,62,174.78,0.28,Spring,Surplus
2021-03,N02BA,119.78,93.06,-26.73,346,14,149.78,0.06,Spring,Shortage
2021-03,N02BE,337.74,294,-43.75,815,20,123.84,0.11,Spring,Balanced
2021-03,N05B,709.93,885.61,175.69,615,65,50.86,0.21,Spring,Surplus
2021-03,N05C,1345.95,1361.67,15.72,840,24,89.76,0.16,Spring,Balanced
2021-03,R03,386.43,297.26,-89.17,574,34,4.5,0.1,Spring,Shortage
2021-03,R06,340.83,282.03,-58.79,901,31,178.16,0.18,Spring,Balanced
2021-04,M01AB,1028.28,1325.63,297.35,198,24,17.84,0.16,Spring,Surplus
2021-04,M01AE,892.66,1111.75,219.09,458,89,76.07,0.1,Spring,Surplus
2021-04,N02BA,1352.48,1497.95,145.47,532,62,99.9,0.1,Spring,Balanced
2021-04,N02BE,1402.53,711.83,-690.7,366,76,73.39,0.15,Spring,Shortage
2021-04,N05B,1280.7,752.91,-527.79,439,30,179.4,0.02,Spring,Shortage
2021-04,N05C,801.03,729.26,-71.77,637,30,22.85,0.12,Spring,Balanced
2021-04,R03,1455.12,1986.98,531.86,735,57,164.26,0.22,Spring,Surplus
2021-04,R06,816.5,797.41,-19.09,262,50,41.41,0.29,Spring,Balanced
2021-05,M01AB,1075.1,752.04,-323.06,621,18,23.41,0.18,Spring,Shortage
2021-05,M01AE,454.29,491.19,36.91,228,83,106.75,0.02,Spring,Balanced
2021-05,N02BA,524.81,332.95,-191.86,1008,16,198,0.1,Spring,Shortage
2021-05,N02BE,1220.52,921.05,-299.46,702,79,152.17,0.18,Spring,Shortage
2021-05,N05B,723.22,659.46,-63.76,695,55,170.22,0.22,Spring,Balanced
2021-05,N05C,630.52,903.5,272.98,548,15,41.4,0.11,Spring,Surplus
2021-05,R03,1391.88,1700.32,308.44,661,70,156.41,0.25,Spring,Surplus
2021-05,R06,1133.24,1472.68,339.45,380,43,163.01,0.2,Spring,Surplus
2021-06,M01AB,798.91,686.12,-112.78,838,48,78.79,0.24,Summer,Balanced
2021-06,M01AE,675.53,592.4,-83.13,780,44,108.19,0.13,Summer,Balanced
2021-06,N02BA,878.9,751.78,-127.12,592,72,108.94,0.27,Summer,Balanced
2021-06,N02BE,947.63,584.59,-363.04,735,73,125.73,0.1,Summer,Shortage
2021-06,N05B,234.73,303.75,69.02,758,39,106.93,0.27,Summer,Surplus
2021-06,N05C,1189.24,775,-414.24,186,33,148.92,0.01,Summer,Shortage
2021-06,R03,867.74,1095.48,227.75,724,80,68.75,0.25,Summer,Surplus
2021-06,R06,192.63,259.37,66.74,305,58,79.76,0.24,Summer,Surplus
2021-07,M01AB,250.38,182.59,-67.79,933,51,144.15,0.19,Summer,Shortage
2021-07,M01AE,1050.1,1094.97,44.87,900,33,69.47,0.05,Summer,Balanced
2021-07,N02BA,1365.42,1479.29,113.87,801,29,92.67,0.28,Summer,Balanced
2021-07,N02BE,255.43,277.45,22.03,1047,88,122.49,0.01,Summer,Balanced
2021-07,N05B,1312.02,1878.97,566.95,445,74,158.12,0.01,Summer,Surplus
2021-07,N05C,987.51,1255.37,267.86,888,15,85.11,0.22,Summer,Surplus
2021-07,R03,1403.52,2000.81,597.29,496,7,23.09,0.3,Summer,Surplus
2021-07,R06,1263.18,789.06,-474.12,914,7,174.04,0.16,Summer,Shortage
2021-08,M01AB,899.17,808.36,-90.81,1058,59,67.37,0.24,Summer,Balanced
2021-08,M01AE,36.81,30.68,-6.13,664,31,172.77,0.28,Summer,Balanced
2021-08,N02BA,714.58,700.89,-13.69,436,23,117.62,0.01,Summer,Balanced
2021-08,N02BE,1371.74,1026.37,-345.37,114,77,33.52,0.01,Summer,Shortage
2021-08,N05B,487.87,624.71,136.84,1092,28,44.41,0.06,Summer,Surplus
2021-08,N05C,787.31,1161.7,374.4,450,55,111.68,0.26,Summer,Surplus
2021-08,R03,816.55,558.9,-257.65,416,7,62.33,0.12,Summer,Shortage
2021-08,R06,657.38,854.45,197.07,407,38,93.91,0.19,Summer,Surplus
2021-09,M01AB,585.26,782.23,196.98,108,24,59.16,0.21,Autumn,Surplus
2021-09,M01AE,805.64,833.4,27.76,202,44,153.19,0.03,Autumn,Balanced
2021-09,N02BA,521.51,300.13,-221.38,732,38,54.82,0.27,Autumn,Shortage
2021-09,N02BE,804.07,1045.89,241.82,144,38,143.34,0.2,Autumn,Surplus
2021-09,N05B,69.83,50.42,-19.41,1073,65,101.35,0.18,Autumn,Shortage
2021-09,N05C,528.73,565.45,36.72,140,14,20.34,0.07,Autumn,Balanced
2021-09,R03,1091.73,1480.06,388.33,580,22,79.74,0.2,Autumn,Surplus
2021-09,R06,331.33,262.79,-68.54,1033,88,3.09,0.03,Autumn,Shortage
2021-10,M01AB,335.59,176.7,-158.89,470,25,116.82,0.13,Autumn,Shortage
2021-10,M01AE,1342.23,1768.31,426.08,1005,17,52.25,0.11,Autumn,Surplus
2021-10,N02BA,897.73,689.52,-208.22,350,43,82.18,0.17,Autumn,Shortage
2021-10,N02BE,671.11,533.17,-137.94,589,30,23.29,0.17,Autumn,Shortage
2021-10,N05B,1478.49,1435.71,-42.78,825,87,97.21,0.15,Autumn,Balanced
2021-10,N05C,1120.28,1343.04,222.76,370,79,28.3,0.25,Autumn,Balanced
2021-10,R03,1477.07,1515.02,37.95,198,43,4.17,0.27,Autumn,Balanced
2021-10,R06,203.09,218.63,15.54,1023,40,111.06,0.2,Autumn,Balanced
2021-11,M01AB,1249.72,882.83,-366.89,963,33,180.05,0.26,Autumn,Shortage
2021-11,M01AE,908.2,999.49,91.29,910,77,114.87,0.25,Autumn,Balanced
2021-11,N02BA,624.44,793.61,169.17,647,70,71.1,0.29,Autumn,Surplus
2021-11,N02BE,301.03,177.71,-123.32,460,32,14.12,0.25,Autumn,Shortage
2021-11,N05B,672.67,952.18,279.51,276,45,122.28,0.28,Autumn,Surplus
2021-11,N05C,613.07,891.46,278.39,495,75,97.01,0.08,Autumn,Surplus
2021-11,R03,823.57,545.21,-278.35,333,87,99.53,0.18,Autumn,Shortage
2021-11,R06,521.34,662.58,141.24,590,79,15.49,0.22,Autumn,Surplus
2021-12,M01AB,758.37,901.25,142.88,131,31,49.66,0.25,Winter,Balanced
2021-12,M01AE,1205.14,1439.78,234.64,567,18,72.51,0.03,Winter,Balanced
2021-12,N02BA,1378.45,877.82,-500.63,419,63,89.48,0.06,Winter,Shortage
2021-12,N02BE,826.59,1134.87,308.27,865,27,151.93,0.22,Winter,Surplus
2021-12,N05B,966.73,1431.32,464.59,555,18,44.63,0.3,Winter,Surplus
2021-12,N05C,1417.77,764.78,-652.99,867,22,185.09,0.05,Winter,Shortage
2021-12,R03,864.88,1224.23,359.35,871,85,139.64,0.09,Winter,Surplus
2021-12,R06,1388.86,2043.1,654.24,816,88,149.14,0.02,Winter,Surplus
2022-01,M01AB,699.06,714.74,15.68,704,23,130.21,0.11,Winter,Balanced
2022-01,M01AE,854.2,838.02,-16.18,220,43,106.29,0.13,Winter,Balanced
2022-01,N02BA,624.59,669.83,45.24,977,10,158.25,0.1,Winter,Balanced
2022-01,N02BE,950.06,1316.76,366.7,515,72,5.37,0.26,Winter,Surplus
2022-01,N05B,61.27,84.22,22.96,230,24,187.84,0.24,Winter,Surplus
2022-01,N05C,1496.96,1273.48,-223.48,1047,68,96.24,0.19,Winter,Balanced
2022-01,R03,1314.31,1950.54,636.23,355,36,83.84,0.13,Winter,Surplus
2022-01,R06,1114.25,823.18,-291.07,92,51,71.25,0.09,Winter,Shortage
2022-02,M01AB,465.57,341.55,-124.03,754,54,4.07,0.3,Winter,Shortage
2022-02,M01AE,658.83,582.62,-76.21,433,74,44.04,0.28,Winter,Balanced
2022-02,N02BA,1185.93,699,-486.93,799,45,175.88,0.28,Winter,Shortage
2022-02,N02BE,717.08,798.41,81.33,242,77,198.24,0.07,Winter,Balanced
2022-02,N05B,1415.82,1627.69,211.87,974,80,9.87,0.12,Winter,Balanced
2022-02,N05C,84,122.4,38.41,977,12,160.25,0.19,Winter,Surplus
2022-02,R03,348,354.35,6.35,109,67,52.42,0.15,Winter,Balanced
2022-02,R06,752.04,1125.31,373.27,92,38,92.94,0.19,Winter,Surplus
2022-03,M01AB,1129.37,604.06,-525.31,669,20,172.1,0.14,Spring,Shortage
2022-03,M01AE,605.02,467.66,-137.36,630,15,9.35,0.26,Spring,Shortage
2022-03,N02BA,82.07,68.04,-14.03,626,11,147.17,0.08,Spring,Balanced
2022-03,N02BE,401.39,202.74,-198.66,340,11,10.23,0.16,Spring,Shortage
2022-03,N05B,1444.32,880.27,-564.05,885,75,198.3,0.02,Spring,Shortage
2022-03,N05C,1327.87,1349.22,21.35,204,64,114.48,0.2,Spring,Balanced
2022-03,R03,829.35,1131.65,302.29,378,12,104.49,0.26,Spring,Surplus
2022-03,R06,390.57,256.74,-133.83,905,47,67.13,0.07,Spring,Shortage
2022-04,M01AB,1397.23,846.49,-550.74,756,44,38.25,0.26,Spring,Shortage
2022-04,M01AE,1443.13,1393.3,-49.83,120,29,1.53,0.25,Spring,Balanced
2022-04,N02BA,366.08,515.7,149.62,171,8,166.51,0.15,Spring,Surplus
2022-04,N02BE,39.39,31,-8.39,135,33,196.25,0.19,Spring,Shortage
2022-04,N05B,411.91,467.11,55.2,945,41,26.13,0.09,Spring,Balanced
2022-04,N05C,57.09,53.22,-3.87,1083,69,78.73,0.05,Spring,Balanced
2022-04,R03,1137.94,1466.58,328.64,1005,74,60.54,0.21,Spring,Surplus
2022-04,R06,129.01,139.61,10.6,794,28,124.37,0.01,Spring,Balanced
2022-05,M01AB,1311.16,1931.98,620.82,374,82,150.06,0.04,Spring,Surplus
2022-05,M01AE,1144.65,600.47,-544.18,996,39,65.06,0.15,Spring,Shortage
2022-05,N02BA,1162.5,1375.58,213.08,627,52,93.97,0.28,Spring,Balanced
2022-05,N02BE,180.22,244.06,63.84,360,35,138.89,0.07,Spring,Surplus
2022-05,N05B,151.1,178.37,27.27,111,81,55.02,0.29,Spring,Balanced
2022-05,N05C,252.06,235,-17.06,110,53,84.24,0.19,Spring,Balanced
2022-05,R03,614.46,475.73,-138.74,476,7,64.49,0.22,Spring,Shortage
2022-05,R06,1126.38,788.87,-337.51,882,30,74.02,0.26,Spring,Shortage
2022-06,M01AB,725.62,1065.35,339.73,519,23,18.69,0.05,Summer,Surplus
2022-06,M01AE,696.93,718.08,21.15,288,9,159.46,0.09,Summer,Balanced
2022-06,N02BA,1370.4,2011.08,640.68,1005,52,92.69,0,Summer,Surplus
2022-06,N02BE,909.54,1007.14,97.6,941,15,40.5,0.15,Summer,Balanced
2022-06,N05B,124.39,134.58,10.2,206,8,159.61,0.09,Summer,Balanced
2022-06,N05C,699.17,357.71,-341.46,363,70,79.41,0.29,Summer,Shortage
2022-06,R03,1091.17,1262.47,171.3,818,39,190.55,0.27,Summer,Balanced
2022-06,R06,1094.7,1367.46,272.76,642,23,21.01,0.17,Summer,Surplus
2022-07,M01AB,57,55.99,-1.01,181,26,69.53,0.23,Summer,Balanced
2022-07,M01AE,1413.62,809.18,-604.44,314,39,176.57,0.02,Summer,Shortage
2022-07,N02BA,1242.04,1065.42,-176.62,192,72,195.5,0.06,Summer,Balanced
2022-07,N02BE,1049,1386.18,337.19,195,50,21.36,0.19,Summer,Surplus
2022-07,N05B,1068.52,568.01,-500.51,863,79,10.87,0.16,Summer,Shortage
2022-07,N05C,1072.32,1470.12,397.8,779,68,156.79,0.18,Summer,Surplus
2022-07,R03,742.07,861.4,119.34,297,10,119.7,0.24,Summer,Balanced
2022-07,R06,736.93,398.5,-338.43,789,20,16.79,0.02,Summer,Shortage
2022-08,M01AB,393.24,259.36,-133.88,390,25,195.19,0.1,Summer,Shortage
2022-08,M01AE,297.71,383.96,86.25,784,38,99.89,0.17,Summer,Surplus
2022-08,N02BA,1087.23,792,-295.23,441,62,194.97,0.2,Summer,Shortage
2022-08,N02BE,323.33,381.6,58.27,182,60,6.62,0.08,Summer,Balanced
2022-08,N05B,710.06,971.55,261.49,248,64,148.67,0.13,Summer,Surplus
2022-08,N05C,538.52,469.08,-69.45,621,66,8.5,0.26,Summer,Balanced
2022-08,R03,880.65,826.59,-54.06,206,72,119.75,0.24,Summer,Balanced
2022-08,R06,992.86,1481.49,488.62,275,18,77.08,0.14,Summer,Surplus
2022-09,M01AB,1258.92,926.3,-332.62,883,14,81.36,0.18,Autumn,Shortage
2022-09,M01AE,959.83,837.79,-122.04,91,43,170.95,0.15,Autumn,Balanced
2022-09,N02BA,393.43,539.29,145.86,712,20,103.21,0.11,Autumn,Surplus
2022-09,N02BE,901.64,598.26,-303.38,980,34,52,0.2,Autumn,Shortage
2022-09,N05B,508.03,646.96,138.93,1041,42,193.98,0.14,Autumn,Surplus
2022-09,N05C,376.99,216.2,-160.79,359,86,104.19,0.1,Autumn,Shortage
2022-09,R03,1248.46,1162.17,-86.28,365,14,123.62,0.21,Autumn,Balanced
2022-09,R06,275.55,183.96,-91.59,210,43,71.67,0.16,Autumn,Shortage
2022-10,M01AB,1179.23,1421.43,242.2,913,34,172.91,0.17,Autumn,Surplus
2022-10,M01AE,823.66,439.99,-383.67,423,8,25.03,0.07,Autumn,Shortage
2022-10,N02BA,105.99,120.83,14.84,124,76,36.41,0.03,Autumn,Balanced
2022-10,N02BE,181.86,197.26,15.4,101,26,197.33,0.29,Autumn,Balanced
2022-10,N05B,37.26,54.1,16.84,395,35,173.65,0.14,Autumn,Surplus
2022-10,N05C,787.93,779.14,-8.79,517,44,28.36,0.01,Autumn,Balanced
2022-10,R03,482.66,581.45,98.79,835,14,194,0.03,Autumn,Surplus
2022-10,R06,1018.73,961.42,-57.3,606,53,138.68,0.25,Autumn,Balanced
2022-11,M01AB,1418.58,1678.54,259.95,203,88,123.76,0.26,Autumn,Balanced
2022-11,M01AE,868.8,460.8,-408,929,52,183.78,0.18,Autumn,Shortage
2022-11,N02BA,1413.09,1874.94,461.85,393,75,115.65,0.1,Autumn,Surplus
2022-11,N02BE,264.15,291.88,27.72,664,79,173.35,0.3,Autumn,Balanced
2022-11,N05B,1136.07,670.83,-465.24,248,81,175.76,0.12,Autumn,Shortage
2022-11,N05C,510.74,596.34,85.6,543,88,175.64,0.1,Autumn,Balanced
2022-11,R03,1307.28,1144.75,-162.53,911,77,1.65,0.1,Autumn,Balanced
2022-11,R06,568.7,509.65,-59.05,1006,25,78.02,0.13,Autumn,Balanced
2022-12,M01AB,379.19,331.13,-48.06,1029,17,120.89,0.2,Winter,Balanced
2022-12,M01AE,940.65,906.31,-34.34,92,32,190.32,0.25,Winter,Balanced
2022-12,N02BA,1373.93,1805.02,431.09,754,18,30.22,0.16,Winter,Surplus
2022-12,N02BE,391.72,382.59,-9.13,132,54,110.11,0.22,Winter,Balanced
2022-12,N05B,1081.77,1104.74,22.97,110,29,86.46,0.27,Winter,Balanced
2022-12,N05C,134.78,196.06,61.28,893,81,76.32,0.06,Winter,Surplus
2022-12,R03,734.4,510.08,-224.32,423,74,51.73,0.09,Winter,Shortage
2022-12,R06,481.72,627.69,145.97,380,14,62.61,0.18,Winter,Surplus
2023-01,M01AB,1082.74,836.55,-246.19,733,81,25.08,0.26,Winter,Shortage
2023-01,M01AE,1205.68,825.39,-380.29,1048,62,158.78,0.06,Winter,Shortage
2023-01,N02BA,1379.1,1275.01,-104.08,975,13,163.24,0.11,Winter,Balanced
2023-01,N02BE,803.95,492.26,-311.69,230,28,163.93,0.27,Winter,Shortage
2023-01,N05B,365.28,260.09,-105.18,99,48,180.05,0.11,Winter,Shortage
2023-01,N05C,378.2,484.29,106.09,139,30,164.61,0.13,Winter,Surplus
2023-01,R03,1011.3,602.26,-409.03,765,80,90.63,0.18,Winter,Shortage
2023-01,R06,276.98,342.59,65.61,315,39,43.74,0.03,Winter,Surplus
2023-02,M01AB,64.75,73.94,9.19,1077,77,109.57,0.07,Winter,Balanced
2023-02,M01AE,604.63,661.76,57.12,343,31,197.56,0.04,Winter,Balanced
2023-02,N02BA,1051.86,951.22,-100.64,463,45,145.04,0,Winter,Balanced
2023-02,N02BE,531.4,700.76,169.36,669,48,181.15,0.23,Winter,Surplus
2023-02,N05B,419.4,480.33,60.93,765,9,80.54,0.11,Winter,Balanced
2023-02,N05C,535.03,597.72,62.68,870,55,166.46,0.2,Winter,Balanced
2023-02,R03,132.8,151.41,18.61,865,78,130.35,0.16,Winter,Balanced
2023-02,R06,506.77,422.14,-84.63,927,8,198.83,0.2,Winter,Balanced
2023-03,M01AB,849.94,1045.98,196.04,887,14,116.3,0.03,Spring,Surplus
2023-03,M01AE,1443.65,1638.48,194.83,392,61,107.4,0.03,Spring,Balanced
2023-03,N02BA,692.05,869.32,177.28,746,22,133.15,0.24,Spring,Surplus
2023-03,N02BE,1392.95,1023.32,-369.63,437,11,147.57,0.23,Spring,Shortage
2023-03,N05B,388.18,454.77,66.59,173,76,51.78,0.24,Spring,Balanced
2023-03,N05C,1301.09,1442.24,141.15,549,44,32.28,0.02,Spring,Balanced
2023-03,R03,202.94,147.61,-55.33,838,72,76.49,0.1,Spring,Shortage
2023-03,R06,381.41,385.12,3.71,924,58,56.3,0.28,Spring,Balanced
2023-04,M01AB,1313.8,869.43,-444.38,495,49,115.13,0.17,Spring,Shortage
2023-04,M01AE,604.83,605.53,0.7,650,48,108.18,0.19,Spring,Balanced
2023-04,N02BA,1021.23,1054.4,33.17,551,12,28.68,0.06,Spring,Balanced
2023-04,N02BE,1233.54,1014.62,-218.92,764,72,31.18,0.07,Spring,Balanced
2023-04,N05B,1437.26,1542.24,104.98,355,31,115.25,0.14,Spring,Balanced
2023-04,N05C,491.18,543.43,52.25,922,86,153.08,0.05,Spring,Balanced
